final_id,enroll_id,final_score,grade,at_risk,intervention
116,116,64.69,C,0,0
117,117,70.61,B,0,0
118,118,58.46,C,0,0
119,119,77.96,B,0,0
120,120,54.68,D,0,0
121,121,68.87,C,0,0
122,122,60.06,C,1,1
123,123,52.6,D,0,0
124,124,77.26,B,0,0
125,125,64.33,C,0,0
126,126,72.52,B,0,0
127,127,76.57,B,0,0
128,128,57.74,C,0,0
129,129,54.05,D,0,0
130,130,60.17,C,0,0
131,131,51.09,D,0,0
132,132,59.8,C,0,0
133,133,69.46,C,0,0
134,134,60.95,C,0,0
135,135,54.87,D,0,0
136,136,74.77,B,0,0
137,137,64.83,C,0,0
138,138,78.97,B,0,0
139,139,73.35,B,0,0
140,140,74.39,B,0,0
141,141,57.88,C,0,0
142,142,59.63,C,0,0
143,143,50.63,D,0,0
144,144,68.61,C,0,0
145,145,55.78,C,0,0
146,146,78.59,B,0,0
147,147,67.38,C,0,0
148,148,71.3,B,1,1
149,149,70.11,B,0,0
150,150,47.94,D,1,1
151,151,61.19,C,0,0
152,152,68.23,C,0,0
153,153,61.07,C,0,0
154,154,68.92,C,0,0
155,155,84.39,B,0,0
156,156,74.07,B,0,0
157,157,77.68,B,0,0
158,158,77.07,B,0,0
159,159,79.71,B,0,0
160,160,83.51,B,0,0
161,161,62.75,C,0,0
162,162,74.68,B,0,0
163,163,60.54,C,0,0
164,164,77.5,B,0,0
165,165,76.35,B,0,0
166,166,54.65,D,1,1
167,167,60.62,C,0,0
168,168,54.69,D,0,0
169,169,61.59,C,0,0
170,170,78.09,B,0,0
171,171,63.58,C,0,0
172,172,66.32,C,0,0
173,173,80.02,B,0,0
174,174,59.27,C,0,0
175,175,56.51,C,0,0
176,176,61.95,C,0,0
177,177,67.9,C,0,0
178,178,76.56,B,0,0
179,179,76.6,B,0,0
180,180,76.47,B,0,0
181,181,75.24,B,0,0
182,182,68.39,C,0,0
183,183,52.26,D,0,0
184,184,61.27,C,0,0
185,185,50.81,D,0,0
186,186,54.07,D,0,0
187,187,49.78,D,1,1
188,188,63.09,C,0,0
189,189,56.4,C,0,0
190,190,50.31,D,0,0
191,191,61.7,C,0,0
192,192,58.57,C,0,0
193,193,74.56,B,0,0
194,194,55.69,C,0,0
195,195,76.55,B,0,0
196,196,77.83,B,0,0
197,197,78.61,B,0,0
198,198,69.22,C,0,0
199,199,58.84,C,0,0
200,200,69.51,C,0,0
201,201,69.27,C,0,0
202,202,56.71,C,0,0
203,203,74.34,B,0,0
204,204,85.46,A,0,0
205,205,74.2,B,0,0
206,206,68.93,C,0,0
207,207,61.28,C,0,0
208,208,69.62,C,0,0
209,209,60.85,C,0,0
210,210,64.59,C,0,0
211,211,73.26,B,0,0
212,212,84.9,B,0,0
213,213,75.82,B,0,0
214,214,56.84,C,0,0
215,215,76.68,B,0,0
216,216,72.23,B,0,0
217,217,69.02,C,0,0
218,218,80.85,B,0,0
219,219,49.23,D,1,0
220,220,66.7,C,0,0
221,221,69.84,C,0,0
222,222,65.91,C,0,0
223,223,68.05,C,0,0
224,224,56.02,C,0,0
225,225,67.68,C,0,0
226,226,61.52,C,0,0
227,227,62.23,C,0,0
228,228,60.6,C,0,0
229,229,62.73,C,0,0
230,230,79.42,B,0,0
231,231,75.64,B,0,0
232,232,64.81,C,0,0
233,233,68.77,C,0,0
234,234,76.94,B,0,0
235,235,71.39,B,0,0
236,236,72.55,B,0,0
237,237,65.87,C,0,0
238,238,68.48,C,0,0
239,239,66.26,C,0,0
240,240,71.1,B,0,0
241,241,83.38,B,0,0
242,242,72.49,B,0,0
243,243,92.69,A,0,0
244,244,81.78,B,0,0
245,245,79.21,B,0,0
246,246,67.79,C,0,0
247,247,71.17,B,0,0
248,248,80.72,B,0,0
249,249,77.18,B,0,0
250,250,79.36,B,0,0
251,251,43.94,D,0,0
252,252,56.11,C,0,0
253,253,48.58,D,0,0
254,254,58.0,C,0,0
255,255,54.66,D,0,0
256,256,75.18,B,0,0
257,257,73.55,B,0,0
258,258,75.24,B,0,0
259,259,85.96,A,0,0
260,260,65.92,C,0,0
261,261,68.21,C,0,0
262,262,73.72,B,0,0
263,263,76.07,B,0,0
264,264,82.71,B,0,0
265,265,70.05,B,0,0
266,266,72.68,B,0,0
267,267,80.45,B,0,0
268,268,76.59,B,0,0
269,269,63.17,C,0,0
270,270,73.16,B,0,0
271,271,78.92,B,0,0
272,272,81.91,B,0,0
273,273,66.25,C,0,0
274,274,72.32,B,0,0
275,275,55.69,C,0,0
276,276,56.93,C,0,0
277,277,56.09,C,0,0
278,278,85.69,A,0,0
279,279,77.67,B,0,0
280,280,84.04,B,0,0
281,281,73.08,B,0,0
282,282,82.97,B,0,0
283,283,73.95,B,0,0
284,284,75.99,B,0,0
285,285,75.01,B,0,0
286,286,88.3,A,0,0
287,287,76.83,B,0,0
288,288,54.8,D,0,0
289,289,56.4,C,0,0
290,290,65.17,C,0,0
291,291,77.81,B,0,0
292,292,79.29,B,0,0
293,293,64.61,C,0,0
294,294,71.15,B,0,0
295,295,60.32,C,0,0
296,296,70.62,B,0,0
297,297,81.57,B,0,0
298,298,74.03,B,0,0
299,299,85.37,A,0,0
300,300,66.54,C,0,0
301,301,76.16,B,0,0
302,302,68.6,C,0,0
303,303,64.69,C,0,0
304,304,72.76,B,0,0
305,305,82.45,B,0,0
306,306,75.59,B,0,0
307,307,77.01,B,0,0
308,308,76.22,B,0,0
309,309,54.14,D,0,0
310,310,76.71,B,0,0
311,311,64.9,C,0,0
312,312,74.43,B,0,0
313,313,59.57,C,0,0
314,314,70.56,B,0,0
315,315,61.36,C,0,0
316,316,60.66,C,0,0
317,317,64.75,C,0,0
318,318,58.95,C,0,0
319,319,58.0,C,0,0
320,320,57.26,C,0,0
321,321,59.13,C,0,0
322,322,56.35,C,0,0
323,323,61.15,C,0,0
324,324,56.93,C,0,0
325,325,53.44,D,0,0
326,326,71.69,B,0,0
327,327,63.9,C,0,0
328,328,77.96,B,0,0
329,329,88.15,A,0,0
330,330,84.2,B,0,0
331,331,87.55,A,0,0
332,332,77.83,B,0,0
333,333,59.82,C,0,0
334,334,72.89,B,0,0
335,335,68.89,C,0,0
336,336,69.05,C,0,0
337,337,76.69,B,0,0
338,338,62.79,C,0,0
339,339,72.29,B,0,0
340,340,73.76,B,0,0
341,341,69.58,C,0,0
342,342,73.12,B,0,0
343,343,78.27,B,0,0
344,344,64.15,C,1,1
345,345,66.09,C,0,0
346,346,77.42,B,1,1
347,347,75.18,B,0,0
348,348,64.04,C,0,0
349,349,69.26,C,1,0
350,350,67.28,C,0,0
351,351,71.4,B,0,0
352,352,80.09,B,0,0
353,353,70.12,B,0,0
354,354,75.01,B,0,0
355,355,71.48,B,0,0
356,356,76.54,B,0,0
357,357,62.0,C,0,0
358,358,57.6,C,0,0
359,359,82.38,B,0,0
360,360,80.05,B,0,0
361,361,54.19,D,0,0
362,362,63.56,C,0,0
363,363,67.63,C,0,0
364,364,64.95,C,0,0
365,365,92.91,A,0,0
366,366,71.86,B,0,0
367,367,100.0,A,0,0
368,368,54.55,D,0,0
369,369,78.59,B,0,0
370,370,80.29,B,0,0
371,371,71.18,B,0,0
372,372,69.7,C,0,0
373,373,84.56,B,0,0
374,374,60.81,C,0,0
375,375,73.91,B,0,0
376,376,67.75,C,0,0
377,377,91.4,A,0,0
378,378,83.19,B,0,0
379,379,80.24,B,1,0
380,380,72.61,B,0,0
381,381,43.93,D,1,1
382,382,58.14,C,1,1
383,383,63.25,C,0,0
384,384,64.4,C,0,0
385,385,49.84,D,1,1
386,386,76.38,B,0,0
387,387,67.28,C,0,0
388,388,47.06,D,1,1
389,389,57.89,C,0,0
390,390,69.49,C,0,0
391,391,83.57,B,0,0
392,392,61.78,C,0,0
393,393,72.06,B,0,0
394,394,69.54,C,0,0
395,395,70.87,B,0,0
396,396,66.62,C,0,0
397,397,67.6,C,0,0
398,398,56.34,C,0,0
399,399,59.32,C,0,0
400,400,65.63,C,0,0
401,401,64.83,C,0,0
402,402,70.24,B,0,0
403,403,69.0,C,0,0
404,404,55.13,C,0,0
405,405,53.34,D,0,0
406,406,61.54,C,0,0
407,407,73.26,B,0,0
408,408,59.67,C,0,0
409,409,74.85,B,0,0
410,410,68.07,C,0,0
411,411,68.86,C,0,0
412,412,76.06,B,0,0
413,413,71.36,B,0,0
414,414,72.78,B,0,0
415,415,80.42,B,0,0
416,416,55.97,C,0,0
417,417,92.99,A,0,0
418,418,87.52,A,0,0
419,419,74.87,B,0,0
420,420,91.23,A,0,0
421,421,83.45,B,0,0
422,422,63.8,C,0,0
423,423,67.82,C,0,0
424,424,65.09,C,1,0
425,425,58.12,C,0,0
426,426,64.71,C,0,0
427,427,66.19,C,0,0
428,428,65.61,C,1,1
429,429,51.09,D,0,0
430,430,55.56,C,0,0
431,431,58.26,C,0,0
432,432,75.07,B,0,0
433,433,55.58,C,0,0
434,434,55.14,C,0,0
435,435,57.11,C,0,0
436,436,78.66,B,0,0
437,437,68.74,C,0,0
438,438,60.54,C,0,0
439,439,81.11,B,0,0
440,440,69.99,C,0,0
441,441,77.56,B,0,0
442,442,55.41,C,0,0
443,443,73.03,B,0,0
444,444,75.45,B,0,0
445,445,79.01,B,0,0
446,446,79.13,B,0,0
447,447,83.57,B,0,0
448,448,61.89,C,0,0
449,449,76.62,B,0,0
450,450,71.15,B,0,0
451,451,75.29,B,0,0
452,452,75.33,B,0,0
453,453,67.65,C,0,0
454,454,77.85,B,0,0
455,455,74.42,B,0,0
456,456,79.52,B,0,0
457,457,67.22,C,0,0
458,458,59.08,C,0,0
459,459,58.31,C,0,0
460,460,64.95,C,0,0
461,461,75.79,B,0,0
462,462,60.73,C,0,0
463,463,58.45,C,0,0
464,464,81.04,B,0,0
465,465,68.97,C,0,0
466,466,68.96,C,0,0
467,467,78.13,B,0,0
468,468,78.95,B,0,0
469,469,77.58,B,0,0
470,470,56.6,C,0,0
471,471,67.92,C,0,0
472,472,64.52,C,0,0
473,473,62.15,C,0,0
474,474,78.16,B,0,0
475,475,61.3,C,0,0
476,476,74.44,B,0,0
477,477,79.24,B,0,0
478,478,72.26,B,0,0
479,479,71.8,B,0,0
480,480,69.95,C,0,0
481,481,56.88,C,0,0
482,482,64.99,C,0,0
483,483,66.06,C,0,0
484,484,72.6,B,0,0
485,485,62.71,C,0,0
486,486,68.49,C,0,0
487,487,45.33,D,1,1
488,488,56.63,C,0,0
489,489,55.61,C,0,0
490,490,57.08,C,0,0
491,491,71.98,B,0,0
492,492,79.18,B,0,0
493,493,74.11,B,0,0
494,494,76.77,B,0,0
495,495,82.31,B,0,0
496,496,74.12,B,0,0
497,497,72.24,B,0,0
498,498,76.36,B,0,0
499,499,73.53,B,0,0
500,500,67.81,C,0,0
501,501,66.0,C,0,0
502,502,63.95,C,0,0
503,503,66.12,C,0,0
504,504,61.18,C,0,0
505,505,69.32,C,0,0
506,506,64.71,C,0,0
507,507,64.65,C,0,0
508,508,69.44,C,0,0
509,509,58.3,C,1,1
510,510,61.05,C,0,0
511,511,58.4,C,0,0
512,512,63.31,C,0,0
513,513,73.83,B,0,0
514,514,55.76,C,0,0
515,515,55.32,C,0,0
516,516,69.6,C,0,0
517,517,64.58,C,0,0
518,518,60.88,C,0,0
519,519,55.52,C,1,0
520,520,63.38,C,0,0
521,521,66.64,C,0,0
522,522,63.99,C,0,0
523,523,70.88,B,0,0
524,524,77.81,B,0,0
525,525,72.31,B,0,0
526,526,66.87,C,0,0
527,527,60.61,C,0,0
528,528,61.76,C,0,0
529,529,59.71,C,0,0
530,530,70.73,B,0,0
531,531,78.04,B,0,0
532,532,78.03,B,0,0
533,533,69.35,C,0,0
534,534,76.05,B,0,0
535,535,75.64,B,0,0
536,536,72.42,B,0,0
537,537,61.07,C,0,0
538,538,74.3,B,0,0
539,539,77.63,B,0,0
540,540,77.27,B,0,0
541,541,80.28,B,0,0
542,542,95.89,A,0,0
543,543,89.25,A,0,0
544,544,67.91,C,0,0
545,545,71.1,B,0,0
546,546,86.91,A,0,0
547,547,66.37,C,0,0
548,548,60.52,C,0,0
549,549,68.36,C,0,0
550,550,80.02,B,0,0
551,551,48.45,D,1,1
552,552,77.4,B,0,0
553,553,57.33,C,0,0
554,554,79.79,B,0,0
555,555,79.76,B,0,0
556,556,75.11,B,0,0
557,557,59.3,C,0,0
558,558,57.79,C,0,0
559,559,60.6,C,0,0
560,560,52.59,D,0,0
561,561,46.68,D,1,0
562,562,60.47,C,0,0
563,563,51.58,D,0,0
564,564,64.03,C,0,0
565,565,64.96,C,0,0
566,566,61.78,C,0,0
567,567,72.61,B,0,0
568,568,74.34,B,0,0
569,569,67.93,C,0,0
570,570,65.6,C,0,0
571,571,73.23,B,1,0
572,572,73.51,B,0,0
573,573,75.36,B,1,1
574,574,81.66,B,0,0
575,575,80.07,B,0,0
576,576,82.45,B,0,0
577,577,70.94,B,1,1
578,578,71.89,B,0,0
579,579,71.37,B,0,0
580,580,77.26,B,0,0
581,581,71.17,B,0,0
582,582,77.24,B,0,0
583,583,65.25,C,0,0
584,584,84.67,B,0,0
585,585,75.21,B,0,0
586,586,56.09,C,0,0
587,587,80.98,B,0,0
588,588,84.87,B,0,0
589,589,73.72,B,0,0
590,590,62.38,C,0,0
591,591,68.51,C,0,0
592,592,57.57,C,1,1
593,593,70.83,B,0,0
594,594,50.75,D,0,0
595,595,52.36,D,1,1
596,596,68.48,C,0,0
597,597,66.81,C,0,0
598,598,70.71,B,0,0
599,599,66.13,C,0,0
600,600,64.0,C,0,0
601,601,70.59,B,0,0
602,602,90.55,A,0,0
603,603,84.7,B,0,0
604,604,67.95,C,0,0
605,605,77.44,B,0,0
606,606,99.13,A,0,0
607,607,71.14,B,0,0
608,608,71.34,B,0,0
609,609,72.51,B,0,0
610,610,80.93,B,0,0
611,611,71.95,B,0,0
612,612,60.8,C,0,0
613,613,73.11,B,0,0
614,614,83.83,B,0,0
615,615,60.15,C,0,0
616,616,69.85,C,0,0
617,617,68.61,C,0,0
618,618,48.19,D,1,0
619,619,70.15,B,0,0
620,620,61.0,C,0,0
621,621,70.18,B,0,0
622,622,82.38,B,0,0
623,623,76.65,B,0,0
624,624,62.68,C,0,0
625,625,73.17,B,0,0
626,626,49.57,D,1,1
627,627,55.87,C,0,0
628,628,58.67,C,0,0
629,629,54.66,D,0,0
630,630,65.99,C,0,0
631,631,67.05,C,0,0
632,632,63.45,C,0,0
633,633,66.64,C,0,0
634,634,69.11,C,0,0
635,635,87.41,A,0,0
636,636,72.76,B,0,0
637,637,54.62,D,0,0
638,638,91.39,A,0,0
639,639,86.9,A,0,0
640,640,73.37,B,0,0
641,641,80.38,B,0,0
642,642,80.81,B,0,0
643,643,72.41,B,0,0
644,644,56.48,C,0,0
645,645,59.7,C,0,0
646,646,53.42,D,0,0
647,647,69.74,C,0,0
648,648,50.32,D,0,0
649,649,81.49,B,0,0
650,650,61.65,C,0,0
651,651,56.93,C,0,0
652,652,81.19,B,0,0
653,653,71.37,B,0,0
654,654,50.7,D,0,0
655,655,77.06,B,0,0
656,656,70.64,B,0,0
657,657,72.19,B,0,0
658,658,66.88,C,0,0
659,659,63.01,C,0,0
660,660,73.06,B,0,0
661,661,74.56,B,0,0
662,662,42.91,D,1,0
663,663,63.13,C,0,0
664,664,64.15,C,0,0
665,665,53.87,D,0,0
666,666,46.12,D,1,1
667,667,52.98,D,0,0
668,668,66.71,C,0,0
669,669,60.17,C,1,1
670,670,52.86,D,0,0
671,671,65.63,C,0,0
672,672,67.99,C,1,0
673,673,70.39,B,0,0
674,674,61.64,C,0,0
675,675,68.21,C,0,0
676,676,62.02,C,0,0
677,677,46.56,D,1,1
678,678,88.69,A,0,0
679,679,64.01,C,0,0
680,680,46.21,D,1,1
681,681,77.34,B,0,0
682,682,85.24,A,0,0
683,683,68.71,C,0,0
684,684,72.75,B,0,0
685,685,71.2,B,0,0
686,686,55.23,C,1,1
687,687,68.23,C,0,0
688,688,72.46,B,0,0
689,689,66.7,C,0,0
690,690,61.79,C,1,1
691,691,57.92,C,0,0
692,692,76.3,B,0,0
693,693,88.15,A,0,0
694,694,68.28,C,0,0
695,695,77.61,B,0,0
696,696,76.23,B,0,0
697,697,50.39,D,0,0
698,698,61.78,C,0,0
699,699,45.94,D,1,0
700,700,57.91,C,0,0
701,701,79.18,B,0,0
702,702,45.82,D,1,0
703,703,66.51,C,0,0
704,704,54.67,D,0,0
705,705,50.37,D,1,1
706,706,69.86,C,0,0
707,707,59.7,C,0,0
708,708,71.03,B,0,0
709,709,68.56,C,0,0
710,710,78.02,B,0,0
711,711,80.87,B,0,0
712,712,59.67,C,0,0
713,713,76.32,B,0,0
714,714,65.96,C,0,0
715,715,54.91,D,1,1
716,716,65.68,C,0,0
717,717,56.93,C,0,0
718,718,63.55,C,0,0
719,719,64.21,C,0,0
720,720,69.9,C,0,0
721,721,62.7,C,0,0
722,722,66.93,C,0,0
723,723,76.51,B,0,0
724,724,60.49,C,0,0
725,725,60.25,C,0,0
726,726,72.38,B,0,0
727,727,79.14,B,0,0
728,728,70.08,B,0,0
729,729,80.83,B,0,0
730,730,69.42,C,0,0
731,731,81.25,B,0,0
732,732,48.39,D,1,0
733,733,60.88,C,0,0
734,734,55.0,C,0,0
735,735,59.36,C,0,0
736,736,62.52,C,0,0
737,737,58.23,C,0,0
738,738,54.57,D,0,0
739,739,57.86,C,0,0
740,740,66.89,C,0,0
741,741,75.31,B,0,0
742,742,85.13,A,0,0
743,743,73.65,B,0,0
744,744,54.05,D,0,0
745,745,64.39,C,0,0
746,746,74.5,B,0,0
747,747,89.2,A,0,0
748,748,88.47,A,0,0
749,749,74.33,B,0,0
750,750,70.47,B,0,0
751,751,71.92,B,0,0
752,752,69.34,C,0,0
753,753,65.03,C,0,0
754,754,54.62,D,0,0
755,755,68.68,C,0,0
756,756,61.08,C,0,0
757,757,50.58,D,0,0
758,758,59.93,C,0,0
759,759,65.3,C,0,0
760,760,74.03,B,0,0
761,761,84.9,B,0,0
762,762,69.7,C,1,1
763,763,73.87,B,0,0
764,764,91.39,A,0,0
765,765,74.91,B,0,0
766,766,72.39,B,0,0
767,767,61.97,C,0,0
768,768,66.67,C,0,0
769,769,78.25,B,0,0
770,770,77.86,B,0,0
771,771,81.25,B,0,0
772,772,55.31,C,0,0
773,773,77.94,B,0,0
774,774,74.06,B,0,0
775,775,82.13,B,0,0
776,776,72.72,B,0,0
777,777,63.28,C,0,0
778,778,73.41,B,0,0
779,779,78.73,B,0,0
780,780,73.86,B,0,0
781,781,68.3,C,0,0
782,782,67.64,C,0,0
783,783,70.11,B,0,0
784,784,57.2,C,0,0
785,785,57.35,C,0,0
786,786,65.27,C,0,0
787,787,76.6,B,0,0
788,788,65.93,C,0,0
789,789,69.11,C,0,0
790,790,60.97,C,0,0
791,791,68.59,C,0,0
792,792,69.78,C,0,0
793,793,65.92,C,0,0
794,794,71.86,B,0,0
795,795,53.15,D,0,0
796,796,67.0,C,0,0
797,797,95.41,A,0,0
798,798,81.32,B,0,0
799,799,75.12,B,0,0
800,800,81.36,B,0,0
801,801,91.34,A,0,0
802,802,85.89,A,0,0
803,803,74.35,B,0,0
804,804,68.87,C,0,0
805,805,84.7,B,0,0
806,806,58.94,C,0,0
807,807,47.62,D,1,0
808,808,55.5,C,0,0
809,809,56.72,C,0,0
810,810,65.98,C,0,0
811,811,75.45,B,0,0
812,812,74.0,B,0,0
813,813,80.42,B,0,0
814,814,64.45,C,0,0
815,815,63.33,C,1,0
816,816,72.96,B,0,0
817,817,80.83,B,0,0
818,818,58.42,C,1,1
819,819,63.72,C,0,0
820,820,52.36,D,0,0
821,821,72.39,B,0,0
822,822,69.78,C,0,0
823,823,68.64,C,0,0
824,824,79.54,B,0,0
825,825,65.66,C,0,0
826,826,73.76,B,0,0
827,827,79.08,B,0,0
828,828,64.57,C,0,0
829,829,69.0,C,0,0
830,830,75.45,B,0,0
831,831,63.52,C,0,0
832,832,67.57,C,0,0
833,833,81.88,B,0,0
834,834,82.72,B,0,0
835,835,59.69,C,0,0
836,836,47.99,D,1,1
837,837,66.74,C,0,0
838,838,61.22,C,0,0
839,839,78.68,B,0,0
840,840,70.64,B,0,0
841,841,74.85,B,0,0
842,842,86.61,A,0,0
843,843,74.36,B,0,0
844,844,77.73,B,0,0
845,845,61.47,C,0,0
846,846,59.75,C,0,0
847,847,78.17,B,0,0
848,848,74.08,B,0,0
849,849,86.27,A,0,0
850,850,79.04,B,0,0
851,851,86.8,A,0,0
852,852,54.55,D,0,0
853,853,61.79,C,1,1
854,854,82.51,B,0,0
855,855,78.14,B,0,0
856,856,83.64,B,0,0
857,857,68.45,C,0,0
858,858,83.71,B,0,0
859,859,69.54,C,0,0
860,860,66.76,C,0,0
861,861,65.63,C,0,0
862,862,54.66,D,0,0
863,863,78.22,B,0,0
864,864,67.14,C,0,0
865,865,80.63,B,0,0
866,866,62.78,C,0,0
867,867,66.85,C,0,0
868,868,70.0,C,0,0
869,869,66.78,C,0,0
870,870,57.87,C,0,0
871,871,73.49,B,0,0
872,872,78.84,B,0,0
873,873,73.96,B,0,0
874,874,71.72,B,0,0
875,875,67.18,C,0,0
876,876,71.09,B,0,0
877,877,56.78,C,0,0
878,878,70.06,B,0,0
879,879,58.65,C,0,0
880,880,62.14,C,0,0
881,881,62.66,C,0,0
882,882,56.28,C,0,0
883,883,58.13,C,0,0
884,884,93.89,A,0,0
885,885,59.36,C,0,0
886,886,68.47,C,0,0
887,887,81.43,B,0,0
888,888,80.63,B,0,0
889,889,63.76,C,0,0
890,890,76.89,B,0,0
891,891,85.52,A,0,0
892,892,76.55,B,0,0
893,893,72.63,B,0,0
894,894,75.07,B,0,0
895,895,59.06,C,0,0
896,896,77.49,B,0,0
897,897,67.32,C,0,0
898,898,66.61,C,0,0
899,899,60.5,C,0,0
900,900,69.22,C,0,0
901,901,69.31,C,0,0
902,902,58.61,C,0,0
903,903,59.81,C,0,0
904,904,70.89,B,0,0
905,905,62.7,C,0,0
906,906,72.5,B,0,0
907,907,70.51,B,0,0
908,908,57.19,C,0,0
909,909,65.54,C,0,0
910,910,79.03,B,0,0
911,911,57.5,C,0,0
912,912,84.09,B,0,0
913,913,99.59,A,0,0
914,914,100.0,A,0,0
915,915,94.04,A,0,0
916,916,84.77,B,0,0
917,917,83.72,B,0,0
918,918,76.22,B,0,0
919,919,76.65,B,0,0
920,920,49.81,D,1,0
921,921,73.47,B,0,0
922,922,86.22,A,0,0
923,923,72.04,B,0,0
924,924,69.32,C,0,0
925,925,72.36,B,0,0
926,926,67.17,C,0,0
927,927,61.48,C,0,0
928,928,60.49,C,0,0
929,929,60.98,C,0,0
930,930,58.35,C,0,0
931,931,66.17,C,0,0
932,932,65.32,C,0,0
933,933,55.24,C,1,1
934,934,62.87,C,0,0
935,935,74.99,B,0,0
936,936,71.97,B,0,0
937,937,64.72,C,0,0
938,938,67.16,C,0,0
939,939,63.96,C,0,0
940,940,61.53,C,0,0
941,941,56.48,C,0,0
942,942,63.87,C,0,0
943,943,67.29,C,0,0
944,944,72.23,B,0,0
945,945,63.11,C,0,0
946,946,81.34,B,0,0
947,947,73.76,B,0,0
948,948,86.82,A,0,0
949,949,72.59,B,0,0
950,950,75.32,B,0,0
951,951,66.16,C,0,0
952,952,68.0,C,0,0
953,953,77.13,B,0,0
954,954,62.2,C,0,0
955,955,72.53,B,0,0
956,956,69.34,C,0,0
957,957,67.9,C,0,0
958,958,59.11,C,0,0
959,959,67.75,C,0,0
960,960,66.34,C,0,0
961,961,73.3,B,0,0
962,962,62.9,C,0,0
963,963,57.04,C,1,0
964,964,66.65,C,0,0
965,965,62.26,C,0,0
966,966,59.54,C,0,0
967,967,63.8,C,0,0
968,968,52.3,D,1,0
969,969,45.52,D,0,0
970,970,62.8,C,0,0
971,971,51.71,D,0,0
972,972,69.44,C,0,0
973,973,59.89,C,0,0
974,974,61.81,C,0,0
975,975,68.73,C,0,0
976,976,66.15,C,0,0
977,977,64.15,C,0,0
978,978,63.63,C,0,0
979,979,73.17,B,0,0
980,980,67.7,C,0,0
981,981,71.46,B,0,0
982,982,70.28,B,0,0
983,983,67.5,C,0,0
984,984,62.16,C,0,0
985,985,74.33,B,0,0
986,986,71.6,B,0,0
987,987,74.48,B,0,0
988,988,72.66,B,0,0
989,989,58.05,C,0,0
990,990,68.05,C,0,0
991,991,71.56,B,0,0
992,992,57.8,C,0,0
993,993,74.9,B,0,0
994,994,64.14,C,1,1
995,995,78.35,B,0,0
996,996,71.92,B,0,0
